time_s,lat,lon,alt,grav_x,grav_y,grav_z
7.5,30.011151,30.9870185,175.341,0.07510605182042909,0.10657063509018219,0.9914548173467208
7.6,30.0111516,30.9870195,175.427,0.08163701284829249,0.1098361156041139,0.9905697805719169
7.7,30.0111525,30.987021,175.563,0.08349864192632832,0.11203344828638569,0.9901730399487289
7.8,30.011153,30.9870227,175.682,0.07010101626636556,0.11581774346140934,0.9907834101382489
7.9,30.0111539,30.9870241,175.765,0.07657094027527696,0.11325418866542558,0.9906002990813929
8.0,30.0111545,30.9870265,175.962,0.07593005157628102,0.1108127079073458,0.9909054841761529
8.1,30.0111547,30.9870257,175.9,0.08642841883602405,0.1044343394268624,0.9907528916287729
8.2,30.0111557,30.9870283,176.079,0.10742515335551012,0.09820856349375896,0.989318521683401
8.3,30.011156,30.9870295,176.18,0.09588915677358317,0.09088412121951964,0.9912106692709128
8.4,30.0111562,30.9870298,176.178,0.09515671254615925,0.09137241737113559,0.9912411877803888
8.5,30.0111565,30.987031,176.262,0.09189123203222754,0.09015167699209571,0.9916684469130528
8.6,30.0111569,30.9870329,176.389,0.08243049409466842,0.09247108371227149,0.9922788171025727
8.7,30.011157,30.987033,176.388,0.08523819696646016,0.10501419110690634,0.9907834101382489
8.8,30.0111566,30.9870336,176.421,0.05294961394085513,0.10968352305673391,0.9925229651783807
8.9,30.0111566,30.9870335,176.418,0.03576769310586871,0.11148411511581774,0.9931028168584246
9.0,30.0111566,30.9870342,176.443,0.04699850459303568,0.10721152378917814,0.9931028168584246
9.1,30.0111561,30.9870336,176.366,0.03518784142582476,0.10177922910245063,0.9941709646900846
9.2,30.0111561,30.9870335,176.345,0.01947080904568621,0.09723197119052705,0.9950560014648885
9.3,30.0111557,30.987034,176.406,0.022431104464857937,0.0913418988616596,0.9955442976165044
9.4,30.0111552,30.9870318,176.249,0.01782280953398236,0.08737449262977996,0.9960020752586444
9.5,30.0111548,30.9870315,176.242,0.009216589861751152,0.08679464094973602,0.9961546678060244
9.6,30.0111543,30.98703,176.109,-0.002227851191747795,0.09201330607013153,0.9957274086733604
9.7,30.0111536,30.9870278,175.965,-0.013519699697866757,0.09097567674794763,0.9957579271828364
9.8,30.0111537,30.9870294,176.106,-0.0024414807580797754,0.09869685964537492,0.9950865199743645
9.9,30.0111534,30.9870292,176.088,0.00024414807580797754,0.10367137668996246,0.9945982238227485
10.0,30.0111535,30.9870298,176.125,0.0031128879665517136,0.11056855983153782,0.9938352610858485
10.1,30.0111533,30.987029,176.087,0.000946073793755913,0.11160618915372174,0.9937437055574205
10.2,30.0111536,30.9870306,176.194,-0.008880886257515184,0.10583819086275827,0.9943235572374646
10.3,30.0111528,30.9870292,176.07,-0.009094515823847163,0.11322367015594959,0.9934995574816126
10.4,30.0111527,30.9870287,176.041,-0.016571550645466476,0.12201300088503678,0.9923703726310007
10.5,30.0111526,30.9870291,176.08,-0.010834070863979004,0.12326425977355265,0.9923093356120487
10.6,30.0111524,30.9870286,176.04,-0.005035554063539537,0.12451551866206854,0.9921872615741447
10.7,30.0111523,30.987029,176.069,-0.019623401593066195,0.13122959074678792,0.9911496322519608
10.8,30.0111526,30.9870293,176.14,-0.039368877224036376,0.12662129581591236,0.9911496322519608
10.9,30.0111522,30.9870286,176.081,-0.044038209173863946,0.12344737083040865,0.9913632618182928
11.0,30.0111523,30.9870288,176.101,-0.03466902676473281,0.12518692587054048,0.9915158543656728
11.1,30.0111524,30.9870296,176.186,-0.027130954924161503,0.12982573931089206,0.9911496322519608
11.2,30.0111523,30.9870296,176.155,-0.03949095126194037,0.12887966551713614,0.9908444471572009
11.3,30.0111524,30.98703,176.181,-0.04766991180150761,0.12652974028748437,0.9908139286477249
11.4,30.0111527,30.9870303,176.243,-0.04803613391521958,0.12753685110019228,0.9906613361003449
11.5,30.0111526,30.9870297,176.198,-0.03717154454176458,0.1347697378460036,0.9901730399487289
11.6,30.0111529,30.9870301,176.259,-0.026673177282021548,0.130314035462508,0.9910885952330089
11.7,30.011153,30.9870303,176.272,-0.017883846552934356,0.1281167027802362,0.9915768913846248
11.8,30.0111533,30.9870306,176.307,-0.018402661214026308,0.13498336741233558,0.9906613361003449
11.9,30.0111535,30.9870309,176.34,-0.023194067201757866,0.14951017792291024,0.9884640034180731
12.0,30.0111535,30.9870306,176.346,-0.0293282876064333,0.14792321543015838,0.988555558946501
12.1,30.0111536,30.9870302,176.302,-0.022583697012237922,0.1465804010132145,0.988921781060213
12.2,30.011154,30.9870307,176.373,-0.03604235969115269,0.13837092196417128,0.9897152623065889
12.3,30.0111543,30.987031,176.411,-0.02490310373241371,0.13629566331980347,0.9903256324961089
12.4,30.0111544,30.9870311,176.414,-0.003784295175023652,0.14380321665089876,0.9895931882686849
12.5,30.0111545,30.9870308,176.377,0.0013428144169438765,0.16077150791955322,0.9869685964537492
12.6,30.0111544,30.9870316,176.472,0.0003357036042359691,0.1674855800042726,0.9858699301126133
12.7,30.0111547,30.9870317,176.458,-0.006988738670003357,0.17514572588274788,0.9844965971861934
12.8,30.011155,30.9870323,176.501,-0.010681478316599017,0.19089327677236242,0.9815363017670217
12.9,30.0111545,30.9870327,176.515,-0.016296884060182502,0.1986449781792657,0.9799188207647939
13.0,30.0111542,30.9870325,176.467,-0.023133030182805873,0.19516586809900205,0.9804681539353618
13.1,30.0111539,30.9870328,176.467,-0.02240058595538194,0.19199194311349835,0.9811090426343577
13.2,30.0111534,30.9870326,176.411,-0.004730368968779565,0.18601031525620287,0.9825128940702537
13.3,30.0111533,30.9870324,176.39,-0.0007629627368999298,0.17584765160069582,0.9844050416577654
13.4,30.0111534,30.9870327,176.445,0.010589922788171027,0.1728873561815241,0.9848628192999054
13.5,30.0111534,30.9870326,176.388,0.008545182653279214,0.16907254249702444,0.9855647450178533
13.6,30.0111534,30.9870324,176.404,0.010254219183935057,0.16919461653492843,0.9855037079989013
13.7,30.0111534,30.9870326,176.416,-0.0050050355540635395,0.17020172734763633,0.9853816339609973
13.8,30.0111536,30.9870323,176.398,0.0030823694570757164,0.17658009582811976,0.9842524491103855
13.9,30.0111535,30.9870322,176.378,0.015503402813806574,0.18616290780358288,0.9823908200323496
14.0,30.0111535,30.9870324,176.404,0.00015259254737998596,0.19571520126956998,0.9806512649922178
14.1,30.0111534,30.987032,176.374,0.002685628833887753,0.20300912503433333,0.979155858027894
14.2,30.0111532,30.9870323,176.402,-0.002075258644367809,0.19602038636432997,0.9805902279732658
14.3,30.0111532,30.9870323,176.388,-0.0013733329264198737,0.19394512771996217,0.9809869685964537
14.4,30.011153,30.9870324,176.394,-0.011261329996642965,0.19174779503769035,0.9813531907101657
14.5,30.0111524,30.9870324,176.349,-0.03283791619617298,0.18308053834650714,0.9825434125797297
14.6,30.0111522,30.9870321,176.34,-0.02850428785058138,0.17636646626178779,0.9838862269966735
14.7,30.0111521,30.9870322,176.374,-0.030823694570757166,0.17099520859401227,0.9847712637714774
14.8,30.011152,30.9870324,176.379,-0.023133030182805873,0.17981505783257545,0.9833979308450576
14.9,30.0111519,30.9870327,176.379,-0.029206213568529312,0.1946165349284341,0.9804376354258858
15.0,30.011152,30.9870325,176.393,-0.02023377178258614,0.20960112308114873,0.977568895535142
15.1,30.0111521,30.9870327,176.387,-0.014984588152714622,0.21768852809228798,0.9758903775139622
15.2,30.0111524,30.9870326,176.361,-0.007751701406903287,0.21579638050477615,0.9763786736655782
15.3,30.0111528,30.9870324,176.343,-0.012237922299874875,0.21372112186040834,0.9768059327982421
15.4,30.011153,30.9870325,176.338,-0.01098666341135899,0.2182073427533799,0.9758293404950102
15.5,30.0111531,30.9870322,176.297,-0.008728293710135197,0.22891933957945493,0.9733878597369304
15.6,30.0111536,30.987032,176.309,-0.015778069399090548,0.25736259041108434,0.9661549729911191
15.7,30.0111536,30.987032,176.295,-0.002197332682271798,0.27002777184362314,0.9628284554582354
15.8,30.0111539,30.9870324,176.321,-0.004852443006683554,0.2663350321970275,0.9638355662709434
15.9,30.011154,30.9870327,176.338,-0.016144291512802514,0.24500259407330546,0.9693594164860988
16.0,30.0111542,30.987033,176.364,0.0016785180211798456,0.20456556901760917,0.978820154423658
16.1,30.0111544,30.9870332,176.386,0.011169774468214972,0.17435224463637197,0.9845881527146214
16.2,30.0111546,30.9870337,176.405,0.008850367748039186,0.16397595141453292,0.9864192632831813
16.3,30.0111548,30.9870341,176.425,0.005523850215155492,0.17453535569322795,0.9846186712240974
16.4,30.011155,30.9870343,176.449,-0.000793481246375927,0.18182927945799127,0.9833063753166296
16.5,30.0111553,30.9870346,176.471,-0.004181035798211615,0.19150364696188238,0.9814752647480697
16.6,30.0111555,30.9870349,176.498,-0.0043641468550675985,0.20267342143009737,0.979216895046846
16.7,30.0111558,30.9870352,176.522,-0.0022583697012237922,0.20957060457167273,0.977782525101474
16.8,30.0111563,30.9870355,176.545,-0.0018311105685598315,0.2164372692037721,0.9762871181371502
16.9,30.0111564,30.9870356,176.573,-0.009308145390179145,0.21878719443342387,0.9757072664571063
17.0,30.0111568,30.987036,176.587,-0.02044740134891812,0.22446363719595935,0.9742423780022583
17.1,30.0111571,30.9870362,176.606,-0.021485030671102023,0.23218482009338665,0.9724112674336985
17.2,30.0111572,30.9870363,176.634,-0.025086214789269694,0.23206274605548266,0.9723502304147466
17.3,30.0111575,30.9870364,176.655,-0.024201178014465773,0.22959074678792687,0.9729606006042665
17.4,30.0111579,30.9870365,176.67,-0.03308206427198096,0.2314218573564867,0.9722586748863186
17.5,30.011158,30.9870365,176.678,-0.03750724814600055,0.23090304269539474,0.9722281563768426
17.6,30.0111583,30.9870368,176.684,-0.06176946317941832,0.23114719077120274,0.9709463789788507
17.7,30.0111586,30.9870367,176.698,-0.07882930997650074,0.22754600665303507,0.9705496383556627
17.8,30.0111587,30.9870365,176.712,-0.09207434308908354,0.2206183050019837,0.9709768974883267
17.9,30.011159,30.9870366,176.718,-0.09036530655842769,0.21881771294289987,0.9715567491683706
18.0,30.0111591,30.9870366,176.711,-0.0846583452864162,0.21924497207556384,0.9719840083010346
18.1,30.0111591,30.9870365,176.714,-0.08267464217047639,0.22220526749473557,0.9714651936399427
18.2,30.0111593,30.9870363,176.712,-0.08282723471785639,0.2269661549729911,0.9703360087893307
18.3,30.0111593,30.987036,176.704,-0.08291879024628437,0.22913296914578693,0.9698477126377147
18.4,30.0111596,30.9870358,176.706,-0.08829004791405988,0.23416852320932646,0.968169194616535
18.5,30.01116,30.9870357,176.697,-0.0924100466933195,0.23725089266640217,0.9670094912564471
18.6,30.0111601,30.9870358,176.698,-0.08252204962309641,0.2468031861323893,0.9655140842921232
18.7,30.01116,30.9870362,176.733,-0.07077242347483749,0.25104525894955293,0.9653614917447432
18.8,30.0111605,30.9870357,176.694,-0.07464827417828913,0.25162511062959686,0.9649037141026032
18.9,30.0111609,30.9870358,176.708,-0.07797479171117283,0.2523270363475448,0.9644764549699393
19.0,30.0111608,30.9870356,176.724,-0.07843256935331279,0.24970244453260904,0.9651173436689352
19.1,30.0111612,30.9870353,176.715,-0.06292916653950621,0.23410748619037447,0.9701528977324747
19.2,30.0111614,30.9870356,176.741,-0.0271919919431135,0.2000488296151616,0.9794000061037019
19.3,30.0111615,30.9870357,176.727,-0.017120883816034424,0.1969359416486099,0.9802545243690298
19.4,30.0111615,30.9870358,176.727,0.02850428785058138,0.19324320200201422,0.9807123020111698
19.5,30.0111616,30.9870358,176.736,0.05191198461867123,0.2022766808069094,0.977935117648854
19.6,30.0111617,30.9870361,176.746,0.06994842371898556,0.20899075289162877,0.9754020813623463
19.7,30.0111617,30.987036,176.731,0.06875820184942168,0.2150944547868282,0.9741508224738303
19.8,30.0111618,30.9870358,176.721,0.06762901699880979,0.24533829767754142,0.9670705282753991
19.9,30.0111619,30.987036,176.714,0.07339701528977324,0.26374095889156773,0.9617908261360515
20.0,30.0111614,30.9870362,176.724,0.07919553209021271,0.29087191381572924,0.9534592730491043
20.1,30.0111618,30.9870359,176.69,0.06283761101107822,0.31870479445783867,0.945738090151677
20.2,30.0111619,30.9870362,176.698,0.06244087038789026,0.33216345713675344,0.9411297952208014
20.3,30.0111619,30.9870362,176.689,0.06375316629535814,0.3554795983764153,0.9324930570390942
20.4,30.0111617,30.9870365,176.695,0.0793176061281167,0.4002502517777032,0.91293069246498
20.5,30.0111611,30.9870365,176.701,0.0804467909787286,0.42704550309762873,0.9006317331461532
20.6,30.011161,30.9870362,176.684,0.08456678975798822,0.4467909787285989,0.8906216620380261
20.7,30.0111607,30.9870361,176.652,0.07443464461195715,0.43864253669850767,0.8955656605731376
20.8,30.0111607,30.9870357,176.619,0.07150486770226142,0.4259773552659688,0.901882992034669
20.9,30.0111604,30.9870357,176.615,0.0694601275673696,0.4202703939939573,0.9047212134159368
21.0,30.0111603,30.9870354,176.575,0.07806634723960082,0.4119998779259621,0.9078035828730124
21.1,30.0111601,30.9870357,176.615,0.0925321207312235,0.412793359172338,0.9060945463423566
21.2,30.01116,30.9870356,176.61,0.09591967528305917,0.41795098727378155,0.9033783989989929
21.3,30.0111597,30.9870358,176.615,0.08597064119388409,0.4211249122592853,0.9028901028473769
